,满意度水平,绩效评估,参加项目数,平均每月工时,工作年限,是否有工作事故,五年内是否晋升,职业,薪水,计数,db_labels,km_labels
87,0.44,0.45,2,132,3,0,0,sales,low,1,员工类1,员工类1
88,0.37,0.57,2,130,3,0,0,sales,low,1,员工类1,员工类1
89,0.1,0.79,6,291,4,0,0,sales,low,1,员工类2,员工类2
90,0.4,0.5,2,130,3,0,0,sales,low,1,员工类1,员工类1
91,0.89,1.0,5,246,5,0,0,sales,low,1,员工类3,员工类3
92,0.42,0.48,2,143,3,0,0,sales,low,1,员工类1,员工类1
93,0.46,0.55,2,129,3,0,0,sales,low,1,员工类1,员工类1
94,0.09,0.83,6,255,4,0,0,sales,low,1,员工类2,员工类2
95,0.37,0.51,2,155,3,0,0,sales,low,1,员工类1,员工类1
96,0.1,0.77,6,265,4,0,0,sales,low,1,员工类2,员工类2
97,0.1,0.84,6,279,4,0,0,sales,low,1,员工类2,员工类2
98,0.11,0.97,6,284,4,0,0,sales,low,1,员工类2,员工类2
99,0.9,1.0,5,221,6,0,0,sales,medium,1,员工类3,员工类3
100,0.38,0.52,2,154,3,0,0,sales,medium,1,员工类1,员工类1
101,0.36,0.52,2,147,3,0,0,sales,medium,1,员工类1,员工类1
102,0.42,0.46,2,150,3,0,0,sales,medium,1,员工类1,员工类1
103,0.09,0.94,7,267,4,0,0,sales,medium,1,员工类2,员工类2
104,0.43,0.52,2,158,3,0,0,sales,medium,1,员工类1,员工类1
105,0.24,0.46,7,224,5,0,0,accounting,medium,1,杂类,员工类2
106,0.91,1.0,4,257,5,0,0,accounting,medium,1,员工类3,员工类3
107,0.44,0.5,2,148,3,0,0,accounting,medium,1,员工类1,员工类1
108,0.71,0.87,3,177,4,0,0,hr,medium,1,杂类,杂类
109,0.4,0.49,2,155,3,0,0,hr,medium,1,员工类1,员工类1
110,0.43,0.47,2,144,3,0,0,hr,medium,1,员工类1,员工类1
111,0.09,0.85,6,289,4,0,0,hr,high,1,员工类2,员工类2
112,0.43,0.52,2,160,3,0,0,technical,low,1,员工类1,员工类1
113,0.9,0.96,4,258,5,0,0,technical,medium,1,员工类3,员工类3
114,0.84,1.0,5,234,5,0,0,technical,medium,1,员工类3,员工类3
115,0.37,0.48,2,137,3,0,0,technical,medium,1,员工类1,员工类1
116,0.86,0.68,5,263,2,0,0,technical,medium,1,杂类,杂类
117,0.11,0.84,6,251,4,0,0,technical,low,1,员工类2,员工类2
118,0.37,0.57,2,133,3,0,0,technical,low,1,员工类1,员工类1
119,0.4,0.46,2,132,3,0,0,technical,low,1,员工类1,员工类1
120,0.14,0.62,4,158,4,1,0,technical,low,1,杂类,员工类1
121,0.4,0.46,2,135,3,0,0,technical,low,1,员工类1,员工类1
122,0.75,1.0,4,216,6,0,0,technical,low,1,员工类3,员工类3
123,0.11,0.84,6,300,5,1,0,support,low,1,员工类2,员工类2
124,0.46,0.49,2,138,3,0,0,support,low,1,员工类1,员工类1
125,0.11,0.92,6,260,4,0,0,support,low,1,员工类2,员工类2
126,0.38,0.49,2,132,3,0,0,support,low,1,员工类1,员工类1
127,0.7,0.89,3,183,5,0,0,support,low,1,员工类3,员工类3
128,0.09,0.82,6,250,4,0,0,support,low,1,员工类2,员工类2
129,0.37,0.45,2,151,3,0,0,support,low,1,员工类1,员工类1
130,0.1,0.83,6,292,4,0,0,support,low,1,员工类2,员工类2
131,0.38,0.57,2,140,3,0,0,support,low,1,员工类1,员工类1
132,0.9,1.0,5,221,5,0,0,support,low,1,员工类3,员工类3
133,0.44,0.51,2,138,3,0,0,support,low,1,员工类1,员工类1
134,0.36,0.5,2,132,3,0,0,technical,low,1,员工类1,员工类1
135,0.31,0.84,7,133,5,0,0,technical,low,1,杂类,员工类2
136,0.1,0.84,6,283,4,1,0,technical,low,1,员工类2,员工类2
137,0.42,0.48,2,129,3,0,0,management,low,1,员工类1,员工类1
138,0.74,1.0,4,249,5,0,0,IT,low,1,员工类3,员工类3
139,0.73,0.87,5,257,5,0,0,IT,low,1,员工类3,员工类3
140,0.09,0.96,6,245,4,0,0,IT,low,1,员工类2,员工类2
141,0.45,0.53,2,155,3,0,0,IT,low,1,员工类1,员工类1
142,0.11,0.8,6,256,4,0,0,IT,low,1,员工类2,员工类2
143,0.37,0.47,2,152,3,0,0,product_mng,low,1,员工类1,员工类1
144,0.84,0.99,4,267,5,0,0,product_mng,low,1,员工类3,员工类3
145,0.41,0.46,2,151,3,0,0,product_mng,low,1,员工类1,员工类1
146,0.76,0.92,4,239,5,0,0,product_mng,low,1,员工类3,员工类3
147,0.11,0.87,6,306,4,0,0,IT,low,1,员工类2,员工类2
148,0.84,0.88,4,263,5,1,0,marketing,low,1,员工类3,员工类3
149,0.39,0.5,2,147,3,0,0,marketing,low,1,员工类1,员工类1
150,0.11,0.91,6,278,4,0,0,marketing,low,1,员工类2,员工类2
151,0.45,0.56,2,154,3,0,0,marketing,low,1,员工类1,员工类1
152,0.37,0.52,2,143,3,0,0,marketing,low,1,员工类1,员工类1
153,0.4,0.52,2,155,3,0,0,marketing,low,1,员工类1,员工类1
154,0.39,0.48,2,160,3,0,0,sales,low,1,员工类1,员工类1
155,0.11,0.8,6,304,4,0,0,accounting,low,1,员工类2,员工类2
156,0.83,1.0,5,240,5,0,0,support,low,1,员工类3,员工类3
157,0.11,0.92,6,305,4,0,0,technical,low,1,员工类2,员工类2
158,0.39,0.5,2,136,3,0,0,management,low,1,员工类1,员工类1
159,0.45,0.45,2,132,3,0,0,marketing,low,1,员工类1,员工类1
160,0.1,0.95,7,301,4,0,0,marketing,low,1,员工类2,员工类2
161,0.9,0.98,5,243,6,0,0,marketing,low,1,员工类3,员工类3
162,0.45,0.51,2,147,3,0,0,sales,low,1,员工类1,员工类1
163,0.79,0.89,5,239,5,0,0,sales,low,1,员工类3,员工类3
164,0.9,0.99,5,260,5,0,0,sales,low,1,员工类3,员工类3
165,0.11,0.84,7,296,4,0,0,sales,low,1,员工类2,员工类2
166,0.43,0.55,2,129,3,0,0,sales,low,1,员工类1,员工类1
167,0.31,0.54,5,132,5,0,0,sales,low,1,杂类,杂类
168,0.32,0.5,2,135,5,0,0,sales,low,1,杂类,员工类1
169,0.45,0.57,2,158,3,0,0,sales,low,1,员工类1,员工类1
170,0.81,0.99,4,259,5,0,0,sales,low,1,员工类3,员工类3
171,0.41,0.46,2,160,3,0,1,sales,low,1,员工类1,员工类1
172,0.11,0.78,7,278,4,0,0,sales,low,1,员工类2,员工类2
173,0.1,0.88,6,284,4,0,0,sales,low,1,员工类2,员工类2
174,0.7,0.53,2,274,4,0,0,sales,low,1,杂类,杂类
175,0.54,0.74,4,164,2,0,0,sales,low,1,杂类,杂类
176,0.41,0.48,2,148,3,0,0,sales,low,1,员工类1,员工类1
177,0.38,0.5,2,140,3,0,0,sales,medium,1,员工类1,员工类1
178,0.37,0.51,2,127,3,0,0,sales,medium,1,员工类1,员工类1
179,0.11,0.85,6,308,5,0,0,sales,medium,1,员工类2,员工类2
180,0.4,0.47,2,146,3,0,0,sales,medium,1,员工类1,员工类1
181,0.1,0.84,6,261,4,0,0,accounting,medium,1,员工类2,员工类2
182,0.89,0.99,5,257,5,0,0,accounting,medium,1,员工类3,员工类3
183,0.11,0.8,6,285,4,0,0,accounting,medium,1,员工类2,员工类2
184,0.36,0.55,2,141,3,0,0,hr,medium,1,员工类1,员工类1
185,0.4,0.46,2,127,3,0,0,hr,medium,1,员工类1,员工类1
186,0.09,0.85,6,297,4,0,0,hr,medium,1,员工类2,员工类2
187,0.4,0.46,2,143,3,0,0,hr,medium,1,员工类1,员工类1
188,0.37,0.55,2,152,3,0,0,technical,medium,1,员工类1,员工类1
189,0.44,0.51,2,156,3,0,0,technical,high,1,员工类1,员工类1
190,0.09,0.8,7,283,5,0,0,technical,low,1,员工类2,员工类2
191,0.92,0.87,4,226,6,1,0,technical,medium,1,员工类3,员工类3
192,0.74,0.91,4,232,5,0,0,technical,medium,1,员工类3,员工类3
193,0.09,0.82,6,249,4,0,0,technical,medium,1,员工类2,员工类2
194,0.89,0.95,4,275,5,0,0,technical,medium,1,员工类3,员工类3
195,0.09,0.8,6,304,4,0,0,technical,low,1,员工类2,员工类2
196,0.27,0.54,7,278,3,0,0,technical,low,1,杂类,员工类2
197,0.1,0.91,6,287,4,0,0,technical,low,1,员工类2,员工类2
198,0.1,0.89,7,285,4,0,0,technical,low,1,员工类2,员工类2
199,0.77,0.94,5,226,6,0,0,support,low,1,员工类3,员工类3
200,0.9,0.82,5,259,5,0,0,support,low,1,员工类3,员工类3
201,0.39,0.5,2,135,3,0,0,support,low,1,员工类1,员工类1
202,0.76,1.0,5,219,5,0,0,support,low,1,员工类3,员工类3
203,0.1,0.93,6,256,4,0,0,support,low,1,员工类2,员工类2
204,0.87,0.9,5,254,6,0,0,support,low,1,员工类3,员工类3
205,0.38,0.5,2,153,3,0,0,support,low,1,员工类1,员工类1
206,0.77,0.99,5,228,5,0,0,support,low,1,员工类3,员工类3
207,0.78,0.87,4,228,5,0,0,support,low,1,员工类3,员工类3
208,0.44,0.5,2,128,3,0,0,support,low,1,员工类1,员工类1
209,0.38,0.52,2,153,3,0,0,support,low,1,员工类1,员工类1
210,0.43,0.46,2,156,3,0,0,technical,low,1,员工类1,员工类1
211,0.39,0.5,4,294,3,0,0,technical,low,1,杂类,杂类
212,0.88,1.0,5,219,5,0,0,technical,low,1,员工类3,员工类3
213,0.45,0.46,2,153,3,0,0,management,low,1,员工类1,员工类1
214,0.4,0.53,2,151,3,0,0,IT,low,1,员工类1,员工类1
215,0.36,0.51,2,155,3,0,0,IT,low,1,员工类1,员工类1
216,0.36,0.48,2,158,3,0,0,IT,low,1,员工类1,员工类1
217,0.9,0.98,5,245,5,0,0,IT,low,1,员工类3,员工类3
218,0.43,0.53,2,131,3,0,0,IT,low,1,员工类1,员工类1
219,0.89,0.87,5,225,5,0,0,product_mng,low,1,员工类3,员工类3
220,0.1,0.84,6,286,4,0,0,product_mng,low,1,员工类2,员工类2
221,0.37,0.5,2,135,3,0,0,product_mng,low,1,员工类1,员工类1
222,0.37,0.51,2,153,3,0,0,product_mng,low,1,员工类1,员工类1
223,0.87,0.9,5,252,5,0,0,IT,low,1,员工类3,员工类3
224,0.4,0.56,2,149,3,0,0,accounting,low,1,员工类1,员工类1
225,0.9,0.97,4,258,5,0,0,accounting,low,1,员工类3,员工类3
226,0.37,0.46,2,158,3,0,0,hr,low,1,员工类1,员工类1
227,0.44,0.54,2,149,3,0,0,hr,low,1,员工类1,员工类1
228,0.85,0.95,5,236,5,0,0,hr,low,1,员工类3,员工类3
229,0.78,0.98,5,239,6,0,0,marketing,low,1,员工类3,员工类3
230,0.42,0.47,2,159,3,0,0,marketing,low,1,员工类1,员工类1
231,0.92,0.99,5,255,6,0,0,sales,low,1,员工类3,员工类3
232,0.11,0.83,6,244,4,0,0,accounting,low,1,员工类2,员工类2
233,0.42,0.56,2,134,3,0,0,support,low,1,员工类1,员工类1
234,0.48,0.57,4,270,4,0,0,technical,low,1,杂类,杂类
235,0.83,0.85,4,255,5,0,0,management,low,1,员工类3,员工类3
236,0.4,0.53,2,151,3,0,0,marketing,low,1,员工类1,员工类1
237,0.43,0.45,2,135,3,0,0,marketing,low,1,员工类1,员工类1
238,0.43,0.53,2,146,3,0,0,marketing,low,1,员工类1,员工类1
239,0.1,0.97,7,254,4,0,0,sales,low,1,员工类2,员工类2
240,0.1,0.87,7,289,4,0,0,sales,low,1,员工类2,员工类2
241,0.37,0.46,2,156,3,0,0,sales,low,1,员工类1,员工类1
242,0.38,0.53,2,156,3,0,0,sales,low,1,员工类1,员工类1
243,0.4,0.5,2,128,3,0,0,sales,low,1,员工类1,员工类1
244,0.89,0.86,5,275,5,0,0,sales,low,1,员工类3,员工类3
245,0.45,0.46,2,155,3,0,0,sales,low,1,员工类1,员工类1
246,0.37,0.48,2,159,3,0,0,sales,low,1,员工类1,员工类1
247,0.46,0.49,2,148,3,0,0,sales,low,1,员工类1,员工类1
248,0.87,0.91,4,228,5,0,0,sales,low,1,员工类3,员工类3
249,0.11,0.84,6,298,4,0,0,sales,low,1,员工类2,员工类2
250,0.79,0.87,5,261,5,0,0,sales,low,1,员工类3,员工类3
251,0.79,0.92,5,254,6,0,0,sales,low,1,员工类3,员工类3
252,0.19,0.59,7,192,3,0,0,sales,low,1,杂类,杂类
253,0.87,0.98,4,248,5,0,0,sales,low,1,员工类3,员工类3
254,0.6,0.92,2,258,5,0,0,sales,low,1,杂类,员工类3
255,0.44,0.45,2,156,3,0,0,sales,medium,1,员工类1,员工类1
256,0.11,0.81,6,266,4,1,0,sales,medium,1,员工类2,员工类2
257,0.42,0.54,2,156,3,0,0,sales,medium,1,员工类1,员工类1
258,0.88,0.88,5,232,5,1,0,accounting,medium,1,员工类3,员工类3
259,0.11,0.84,6,287,4,0,0,accounting,medium,1,员工类2,员工类2
260,0.46,0.46,2,154,3,0,0,accounting,medium,1,员工类1,员工类1
261,0.82,0.97,5,263,5,0,0,hr,medium,1,员工类3,员工类3
262,0.44,0.56,2,131,3,0,0,hr,medium,1,员工类1,员工类1
263,0.11,0.78,6,260,4,0,0,hr,medium,1,员工类2,员工类2
264,0.42,0.5,2,139,3,0,0,hr,medium,1,员工类1,员工类1
265,0.84,0.93,4,251,5,0,0,technical,medium,1,员工类3,员工类3
266,0.11,0.95,6,286,4,0,0,technical,medium,1,员工类2,员工类2
267,0.45,0.53,2,129,3,0,0,technical,high,1,员工类1,员工类1
268,0.38,0.56,2,156,3,0,0,technical,low,1,员工类1,员工类1
269,0.38,0.86,6,139,6,0,0,technical,medium,1,杂类,员工类3
270,0.44,0.51,2,127,3,0,0,technical,medium,1,员工类1,员工类1
271,0.11,0.84,6,251,4,0,0,technical,medium,1,员工类2,员工类2
272,0.81,0.93,5,270,5,0,0,technical,medium,1,员工类3,员工类3
273,0.09,0.96,6,296,4,0,0,technical,low,1,员工类2,员工类2
274,0.11,0.9,6,254,4,0,0,technical,low,1,员工类2,员工类2
275,0.81,0.95,5,238,6,0,0,technical,low,1,员工类3,员工类3
276,0.1,0.97,6,267,4,1,0,support,low,1,员工类2,员工类2
277,0.74,0.89,5,229,6,0,0,support,low,1,员工类3,员工类3
278,0.09,0.78,6,254,4,0,0,support,low,1,员工类2,员工类2
279,0.82,0.81,4,233,4,1,0,support,low,1,员工类3,杂类
280,0.1,0.98,6,268,4,0,0,support,low,1,员工类2,员工类2
281,0.27,0.56,3,301,3,0,0,support,low,1,杂类,杂类
282,0.83,0.92,5,267,6,0,0,support,low,1,员工类3,员工类3
283,0.1,0.93,6,289,4,1,0,support,low,1,员工类2,员工类2
284,0.38,0.47,2,144,3,0,0,support,low,1,员工类1,员工类1
285,0.4,0.56,2,148,3,0,0,support,low,1,员工类1,员工类1
286,0.11,0.83,6,306,4,0,0,support,low,1,员工类2,员工类2
287,0.11,0.79,6,292,4,0,1,technical,low,1,员工类2,员工类2
288,0.82,0.91,5,232,5,0,0,technical,low,1,员工类3,员工类3
289,0.36,0.48,2,137,3,0,0,technical,low,1,员工类1,员工类1
290,0.4,0.46,2,128,3,0,0,management,low,1,员工类1,员工类1
291,0.87,0.84,5,231,5,0,0,IT,low,1,员工类3,员工类3
292,0.41,0.49,2,146,3,0,0,IT,low,1,员工类1,员工类1
293,0.11,0.91,6,308,4,1,0,IT,low,1,员工类2,员工类2
294,0.1,0.93,6,253,4,0,0,IT,medium,1,员工类2,员工类2
295,0.38,0.51,2,146,3,0,0,IT,medium,1,员工类1,员工类1
296,0.39,0.55,2,156,3,0,0,product_mng,medium,1,员工类1,员工类1
297,0.4,0.52,2,147,3,0,0,product_mng,medium,1,员工类1,员工类1
298,0.45,0.48,2,136,3,0,0,product_mng,medium,1,员工类1,员工类1
299,0.74,0.84,5,249,5,0,0,product_mng,medium,1,员工类3,员工类3
300,0.45,0.55,2,151,3,0,0,IT,medium,1,员工类1,员工类1
301,0.12,1.0,3,278,4,0,0,RandD,medium,1,杂类,员工类2
302,0.1,0.77,7,250,5,0,0,RandD,medium,1,员工类2,员工类2
303,0.37,0.55,2,127,3,0,0,RandD,medium,1,员工类1,员工类1
304,0.89,0.87,5,255,5,0,0,RandD,medium,1,员工类3,员工类3
305,0.45,0.47,2,135,3,0,0,RandD,medium,1,员工类1,员工类1
306,0.37,0.46,2,149,3,0,0,marketing,high,1,员工类1,员工类1
307,0.11,0.81,5,287,4,0,0,sales,low,1,员工类2,员工类2
308,0.41,0.48,2,145,3,0,0,accounting,medium,1,员工类1,员工类1
309,0.1,0.94,6,285,4,0,0,support,medium,1,员工类2,员工类2
310,0.1,0.93,7,305,4,0,0,technical,medium,1,员工类2,员工类2
311,0.11,0.95,7,300,4,0,0,management,medium,1,员工类2,员工类2
312,0.4,0.54,2,139,3,0,0,marketing,low,1,员工类1,员工类1
313,0.41,0.49,2,130,3,0,0,marketing,low,1,员工类1,员工类1
314,0.1,0.81,6,268,4,0,0,marketing,low,1,员工类2,员工类2
315,0.73,0.86,4,245,6,0,0,sales,low,1,员工类3,员工类3
316,0.43,0.47,2,135,3,0,0,sales,low,1,员工类1,员工类1
317,0.37,0.46,2,153,3,0,0,sales,low,1,员工类1,员工类1
318,0.11,0.94,6,276,4,0,0,sales,low,1,员工类2,员工类2
319,0.4,0.46,2,130,3,0,0,sales,low,1,员工类1,员工类1
320,0.41,0.54,2,153,3,1,0,sales,low,1,员工类1,员工类1
321,0.82,0.84,5,244,5,0,0,sales,low,1,员工类3,员工类3
322,0.61,0.47,2,253,3,0,0,sales,low,1,杂类,杂类
323,0.11,0.91,7,287,4,0,0,sales,low,1,员工类2,员工类2
324,0.37,0.45,2,131,3,0,0,sales,low,1,员工类1,员工类1
325,0.41,0.52,2,135,3,0,0,sales,low,1,员工类1,员工类1
326,0.37,0.52,2,157,3,0,0,sales,low,1,员工类1,员工类1
327,0.88,0.99,5,262,6,0,0,sales,low,1,员工类3,员工类3
328,0.1,0.85,6,266,4,0,0,sales,low,1,员工类2,员工类2
329,0.44,0.48,2,148,3,0,0,sales,low,1,员工类1,员工类1
330,0.38,0.57,2,140,3,0,0,sales,low,1,员工类1,员工类1
331,0.11,0.85,7,302,4,0,0,sales,low,1,员工类2,员工类2
332,0.09,0.98,6,271,4,0,0,sales,low,1,员工类2,员工类2
333,0.45,0.52,2,145,3,0,0,sales,medium,1,员工类1,员工类1
334,0.1,0.81,6,290,4,0,0,accounting,medium,1,员工类2,员工类2
335,0.45,0.47,2,151,3,0,0,accounting,medium,1,员工类1,员工类1
336,0.77,0.87,5,266,5,0,0,accounting,medium,1,员工类3,员工类3
337,0.44,0.51,2,140,3,0,0,hr,medium,1,员工类1,员工类1
338,0.39,0.5,2,142,3,0,0,hr,medium,1,员工类1,员工类1
339,0.1,0.91,6,246,4,0,0,hr,medium,1,员工类2,员工类2
340,0.09,0.89,7,308,5,0,0,hr,medium,1,员工类2,员工类2
341,0.37,0.47,2,141,3,0,0,technical,medium,1,员工类1,员工类1
342,0.9,1.0,5,232,5,0,0,technical,medium,1,员工类3,员工类3
343,0.41,0.56,2,143,3,0,0,technical,medium,1,员工类1,员工类1
344,0.37,0.52,2,155,3,0,0,technical,medium,1,员工类1,员工类1
345,0.1,0.86,6,278,4,0,0,technical,high,1,员工类2,员工类2
346,0.81,1.0,4,253,5,0,0,technical,low,1,员工类3,员工类3
347,0.11,0.8,6,282,4,0,0,technical,medium,1,员工类2,员工类2
348,0.11,0.84,7,264,4,0,0,technical,medium,1,员工类2,员工类2
349,0.4,0.46,2,149,3,0,0,technical,medium,1,员工类1,员工类1
350,0.09,0.8,6,304,5,0,0,technical,medium,1,员工类2,员工类2
351,0.48,0.93,3,219,6,0,0,technical,low,1,杂类,员工类3
352,0.91,0.91,4,262,6,0,0,support,low,1,员工类3,员工类3
353,0.43,0.57,2,135,3,0,0,support,low,1,员工类1,员工类1
354,0.33,0.88,6,219,5,0,0,support,low,1,员工类2,员工类2
355,0.41,0.57,2,136,3,0,0,support,low,1,员工类1,员工类1
356,0.41,0.55,2,154,3,0,0,support,low,1,员工类1,员工类1
357,0.37,0.54,2,149,3,0,0,support,low,1,员工类1,员工类1
358,0.31,0.62,6,135,5,0,0,support,low,1,杂类,杂类
359,0.09,0.91,6,275,4,0,0,support,low,1,员工类2,员工类2
360,0.1,0.87,6,290,4,0,0,support,low,1,员工类2,员工类2
361,0.76,0.9,4,263,5,0,0,support,low,1,员工类3,员工类3
362,0.41,0.54,2,145,3,0,0,support,low,1,员工类1,员工类1
363,0.72,0.96,5,267,5,0,0,technical,low,1,员工类3,员工类3
364,0.4,0.5,2,141,3,1,0,technical,low,1,员工类1,员工类1
365,0.91,0.87,4,235,5,0,0,technical,low,1,员工类3,员工类3
366,0.1,0.83,6,258,4,0,0,management,low,1,员工类2,员工类2
367,0.4,0.56,2,131,3,0,0,IT,low,1,员工类1,员工类1
368,0.82,0.86,5,243,5,0,0,IT,low,1,员工类3,员工类3
369,0.1,0.82,6,266,4,0,0,IT,low,1,员工类2,员工类2
370,0.37,0.45,2,142,3,0,0,IT,low,1,员工类1,员工类1
371,0.36,0.51,2,135,3,0,0,IT,low,1,员工类1,员工类1
